Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/11/14,Panera Bread,x,3.29,debit,Fast Food,x,,
8/11/14,Opodo Id Opodo,x,4.86,debit,Air Travel,x,,
8/11/14,Opodo Id Opodo,x,43.77,debit,Air Travel,x,,
8/11/14,Opodo Id Opodo,x,49.73,debit,Air Travel,x,,
8/11/14,Opodo Id Opodo,x,162.02,debit,Air Travel,x,,
8/11/14,Glacier Point Ca,x,1.23,debit,Uncategorized,x,,
8/11/14,Opodo Id Opodo,x,43.59,credit,Income,x,,
8/11/14,Jantz Cafe Bakery,x,24.04,debit,Restaurants,x,,
8/11/14,Opodo Id Opodo,x,1.49,debit,Air Travel,x,,
8/11/14,Jantz Cafe Bakery,x,15.93,debit,Restaurants,x,,
8/11/14,Opodo Id Opodo,x,161.35,credit,Income,x,,
8/8/14,Uc Merced Fork,x,4.73,debit,Restaurants,x,,
8/8/14,Uc Merced Fork,x,5.95,debit,Restaurants,x,,
8/8/14,Coffee Bandits,x,2,debit,Coffee Shops,x,,
8/8/14,Coffee Bandits,x,13.34,debit,Coffee Shops,x,,
8/8/14,Sushi Cuisine,x,49.98,debit,Restaurants,x,,
8/8/14,Bkofamerica Mobile Deposit,x,150,credit,Income,x,,
8/7/14,Panera Bread,x,15.75,debit,Fast Food,x,,
8/7/14,Kagi Ca,x,20,debit,Uncategorized,x,,
8/6/14,Courtyard,x,3.25,debit,Hotel,x,,
8/6/14,iTunes,x,13.96,debit,Music,x,,
8/6/14,Courtyard,x,9.07,debit,Hotel,x,,
8/5/14,Pacific Coast Brewing,x,24.08,debit,Uncategorized,x,,
8/4/14,Coffee Bandits,x,14.53,debit,Coffee Shops,x,,
8/4/14,BART,x,20,debit,Public Transportation,x,,
8/4/14,Desco,x,32.16,debit,Uncategorized,x,,
8/4/14,Sfmta 5th Mission,x,9.5,debit,Uncategorized,x,,
8/4/14,Target,x,6.69,debit,Shopping,x,,
8/4/14,Coffee Bandits,x,11.45,debit,Coffee Shops,x,,
8/4/14,Arco,x,8.9,debit,Gas & Fuel,x,,
8/4/14,Coffee Bandits,x,6.3,debit,Coffee Shops,x,,
8/4/14,Frontpoint Security,x,42.99,debit,Home Services,x,,
8/4/14,Bi Rite Creamery,x,8,debit,Restaurants,x,,
8/4/14,Panera Bread,x,13.86,debit,Fast Food,x,,
8/4/14,Starbucks,x,7.6,debit,Coffee Shops,x,,
8/4/14,Coffee Bandits,x,5.25,debit,Coffee Shops,x,,
8/1/14,Coffee Bandits,x,17.6,debit,Coffee Shops,x,,
8/1/14,AT&T,x,186.74,debit,Home Phone,x,,
8/1/14,Coffee Bandits,x,2,debit,Coffee Shops,x,,
8/1/14,Regal Hollywood Merced,x,9.25,debit,Uncategorized,x,,
8/1/14,Regal Hollywood Merced,x,8.75,debit,Uncategorized,x,,
8/1/14,Uc Los Angeles,x,4371.84,credit,Income,x,,
7/31/14,Starbucks,x,1.95,debit,Coffee Shops,x,,
7/31/14,Ua Regency,x,9,debit,Uncategorized,x,,
7/31/14,Ua Regency,x,8.75,debit,Uncategorized,x,,
7/30/14,Amazon Video,x,2.99,debit,Movies & DVDs,x,,
7/30/14,Transfer to Platinum MasterCard,x,1400.89,debit,Credit Card Payment,x,,
7/30/14,Coffee Bandits,x,2.95,debit,Coffee Shops,x,,
7/30/14,Sizzler,x,32.44,debit,Restaurants,x,,
7/30/14,Coffee Bandits,x,13.18,debit,Coffee Shops,x,,
7/30/14,Panera Bread,x,15.52,debit,Fast Food,x,,
7/30/14,Raley's,x,11.32,debit,Groceries,x,,
7/29/14,Minneapolis St Paul,x,14.02,debit,Uncategorized,x,,
7/29/14,Awg Wifi Msp,x,2.95,debit,Uncategorized,x,,
7/29/14,GoGoAir,x,12.95,debit,Air Travel,x,,
7/28/14,Grill Ste Anne,x,32.91,debit,Restaurants,x,,
7/28/14,Hilton,x,55.38,debit,Hotel,x,,
7/28/14,Capital Hrs International,x,0.18,debit,Uncategorized,x,,
7/28/14,Ristorante Ii Teatro,x,2.07,debit,Restaurants,x,,
7/28/14,GoGoAir,x,11.44,debit,Air Travel,x,,
7/28/14,Ristorante Ii Teatro,x,68.91,debit,Restaurants,x,,
7/28/14,Capital Hrs,x,6.06,debit,Uncategorized,x,,
7/28/14,Hilton,x,1.69,debit,Hotel,x,,
7/28/14,Grill Ste Anne,x,0.99,debit,Restaurants,x,,
7/28/14,Hilton,x,56.35,debit,Hotel,x,,
7/28/14,Capital Hrs International,x,0.21,debit,Uncategorized,x,,
7/28/14,Hilton,x,56.13,debit,Hotel,x,,
7/28/14,Hilton,x,1.68,debit,Hotel,x,,
7/28/14,Capital Hrs,x,6.99,debit,Uncategorized,x,,
7/28/14,Hilton,x,1.66,debit,Hotel,x,,
7/25/14,Kellys Place,x,13.48,debit,Uncategorized,x,,
7/25/14,GoGoAir,x,9.95,debit,Air Travel,x,,
7/25/14,Audible.com,x,14.95,debit,Books,x,,
7/24/14,Envato Mkpl,x,0.66,debit,Uncategorized,x,,
7/24/14,Envato Mkpl,x,22,debit,Uncategorized,x,,
7/24/14,Royal,x,5,debit,Financial,x,,
7/24/14,Sushi Cuisine,x,26.55,debit,Restaurants,x,,
7/24/14,Starbucks,x,10.1,debit,Coffee Shops,x,,
7/24/14,GoGoAir,x,12,debit,Air Travel,x,,
7/24/14,Royal,x,2.86,debit,Financial,x,,
7/24/14,Royal,x,95.26,debit,Financial,x,,
7/23/14,Linguistica Ma,x,74.9,debit,Uncategorized,x,,
7/23/14,Raley's,x,18,debit,Groceries,x,,
7/23/14,Blu Cognaction Org,x,14.99,debit,Uncategorized,x,,
7/22/14,Spotify,x,9.99,debit,Music,x,,
7/21/14,Bkofamerica Mobile Deposit,x,1250,credit,Income,x,,
7/21/14,Netflix,x,7.99,debit,Movies & DVDs,x,,
7/17/14,Casa Academica A,x,19.35,debit,Uncategorized,x,,
7/17/14,Casa Academica A,x,30.14,debit,Uncategorized,x,,
7/17/14,Amazon Video,x,3.99,debit,Movies & DVDs,x,,
7/17/14,Ing Withdrwl Ing,x,203.41,debit,Cash & ATM,x,,
7/17/14,Ing Withdrwl Ing,x,5,debit,Cash & ATM,x,,
7/17/14,Ing Withdrwl Ing,x,6.1,debit,Cash & ATM,x,,
7/17/14,Casa Academica A,x,0.9,debit,Uncategorized,x,,
7/17/14,Casa Academica A,x,0.58,debit,Uncategorized,x,,
7/14/14,Simply Delightful Yogu,x,5.05,debit,Restaurants,x,,
7/14/14,Chevron,x,32.25,debit,Gas & Fuel,x,,
7/14/14,Raley's,x,4.43,debit,Groceries,x,,
7/14/14,Abn Amro Bank,x,5,debit,Cash & ATM,x,,
7/14/14,Midtown Cafe,x,3.18,debit,Restaurants,x,,
7/14/14,Top A Lot,x,2.03,debit,Fast Food,x,,
7/14/14,Pp Lulucarpent Scotts,x,5.75,debit,Uncategorized,x,,
7/14/14,Envato Mkpl Gr,x,7,debit,Uncategorized,x,,
7/14/14,Envato Mkpl Gr,x,0.21,debit,Uncategorized,x,,
7/14/14,Abn Amro Bank,x,204.36,debit,Cash & ATM,x,,
7/14/14,Hollister,x,22.99,debit,Clothing,x,,
7/14/14,Abn Amro Bank,x,6.13,debit,Cash & ATM,x,,
7/14/14,KLM,x,21,debit,Air Travel,x,,
7/11/14,Starbucks,x,3.45,debit,Coffee Shops,x,,
7/11/14,Panera Bread,x,11.97,debit,Fast Food,x,,
7/11/14,Starbucks,x,1.95,debit,Coffee Shops,x,,
7/11/14,Dreamhost,x,119.4,debit,Business Services,x,,
7/11/14,Coffee Bandits,x,5.25,debit,Coffee Shops,x,,
7/9/14,Dm Name Com,x,29.96,debit,Uncategorized,x,,
7/9/14,Sizzler,x,14.25,debit,Restaurants,x,,
7/8/14,Amazon Kindle,x,8.69,debit,Books,x,,
7/8/14,Panera Bread,x,12.83,debit,Fast Food,x,,
7/8/14,Chevron,x,3.77,debit,Gas & Fuel,x,,
7/8/14,Raley's,x,59.35,debit,Groceries,x,,
7/8/14,Thai Cuisine Ii,x,19.22,debit,Restaurants,x,,
7/7/14,Regal Hollywood Merced,x,9.5,debit,Uncategorized,x,,
7/7/14,Starbucks,x,1.95,debit,Coffee Shops,x,,
7/7/14,Starbucks,x,6.25,debit,Coffee Shops,x,,
7/7/14,Wordimpress Ca,x,19,debit,Uncategorized,x,,
7/7/14,Amazon Kindle,x,3.25,debit,Books,x,,
7/7/14,Coffee Bandits,x,12.35,debit,Coffee Shops,x,,
7/7/14,Coffee Bandits,x,5.25,debit,Coffee Shops,x,,
7/7/14,Chevron,x,39.02,debit,Gas & Fuel,x,,
7/7/14,Amazon Kindle,x,9.99,debit,Books,x,,
7/7/14,Regal Hollywood Merced,x,9.5,debit,Uncategorized,x,,
7/3/14,Frontpoint Security,x,42.99,debit,Home Services,x,,
7/3/14,Transfer from House money,x,50,credit,Transfer,x,,
7/2/14,AT&T,x,177.19,debit,Home Phone,x,,
7/2/14,Chevron,x,47.53,debit,Gas & Fuel,x,,
7/2/14,Nathan Hale Inn,x,40.98,credit,Income,x,,
7/2/14,Sizzler,x,27.82,debit,Restaurants,x,,
7/1/14,Uc Los Angeles,x,6823.61,credit,Income,x,,
7/1/14,New Thai Cuisine,x,40.62,debit,Restaurants,x,,
6/30/14,Transfer from House money,x,464.5,credit,Transfer,x,,
6/30/14,Ua Regency,x,9.5,debit,Uncategorized,x,,
6/30/14,Transfer to INGchecking,x,33.97,debit,Transfer,x,,
6/30/14,El Sacromonte,x,102.02,debit,Restaurants,x,,
6/30/14,Trader Joe's,x,90.63,debit,Groceries,x,,
6/30/14,Lucky,x,30.48,debit,Groceries,x,,
6/30/14,Ua Regency,x,9,debit,Uncategorized,x,,
6/30/14,Togo's,x,13.94,debit,Restaurants,x,,
6/30/14,Css,x,350,debit,Uncategorized,x,,
6/27/14,Delta,x,559,debit,Air Travel,x,,
6/27/14,Panera Bread,x,11.97,debit,Fast Food,x,,
6/27/14,Raley's,x,85.79,debit,Groceries,x,,
6/27/14,Delta,x,559,debit,Air Travel,x,,
6/27/14,Coffee Bandits,x,16.42,debit,Coffee Shops,x,,
6/27/14,Access Dental,x,405,debit,Dentist,x,,
6/27/14,Coffee Bandits,x,2,debit,Coffee Shops,x,,
6/26/14,Amazon Kindle,x,9.99,debit,Books,x,,
6/26/14,Chevron,x,32,debit,Gas & Fuel,x,,
6/26/14,Modern Air Mechanical,x,464.5,debit,Uncategorized,x,,
6/25/14,Envato Mkpl Th,x,62,debit,Uncategorized,x,,
6/25/14,Texaco,x,20,debit,Gas & Fuel,x,,
6/25/14,Audible.com,x,14.95,debit,Books,x,,
6/25/14,Envato Mkpl Th,x,1.86,debit,Uncategorized,x,,
6/25/14,Sheraton,x,6.36,debit,Hotel,x,,
6/25/14,Hertz,x,161.03,debit,Rental Car & Taxi,x,,
6/24/14,Vons,x,21.99,debit,Groceries,x,,
6/24/14,Delta,x,7.99,debit,Air Travel,x,,
6/24/14,Lab Brewing,x,34.34,debit,Uncategorized,x,,
6/24/14,Starbucks,x,3.65,debit,Coffee Shops,x,,
6/23/14,Panera Bread,x,6.38,debit,Fast Food,x,,
6/23/14,Eagle Food,x,20,debit,Groceries,x,,
6/23/14,Love's Country Stores,x,5.69,debit,Gas & Fuel,x,,
6/23/14,Spotify,x,9.99,debit,Music,x,,
6/23/14,Graeters,x,16,debit,Uncategorized,x,,
6/23/14,Shell,x,9.36,debit,Gas & Fuel,x,,
6/23/14,Hallmark,x,3.82,debit,Gift,x,,
6/23/14,Starbucks,x,3.05,debit,Coffee Shops,x,,
6/23/14,Saint Clair Bar,x,10.99,debit,Alcohol & Bars,x,,
6/23/14,Chevron,x,16.53,debit,Gas & Fuel,x,,
6/23/14,Love's Country Stores,x,31.86,debit,Gas & Fuel,x,,
6/23/14,Lab Brewing,x,81.44,debit,Uncategorized,x,,
6/23/14,Peet's Coffee,x,8.69,debit,Coffee Shops,x,,
6/23/14,Starbucks,x,10.44,debit,Coffee Shops,x,,
6/20/14,Starbucks,x,3.9,debit,Coffee Shops,x,,
6/20/14,Mr Sushi,x,15.14,debit,Restaurants,x,,
6/20/14,Panera Bread,x,12.79,debit,Fast Food,x,,
6/19/14,Amazon Video,x,2.99,debit,Movies & DVDs,x,,
6/19/14,Ace Taxi,x,94,debit,Rental Car & Taxi,x,,
6/19/14,Netflix,x,7.99,debit,Movies & DVDs,x,,
6/18/14,Panera Bread,x,9.38,debit,Fast Food,x,,
6/18/14,Amazon Video,x,2.99,debit,Movies & DVDs,x,,
6/18/14,Panera Bread,x,11.83,debit,Fast Food,x,,
6/18/14,Amazon,x,39.17,debit,Shopping,x,,
6/17/14,Nathan Hale Inn,x,40.98,debit,Hotel,x,,
6/17/14,Amazon Video,x,2.99,debit,Movies & DVDs,x,,
6/17/14,His Airport Taxi,x,42,debit,Rental Car & Taxi,x,,
6/17/14,DMV,x,138,debit,Auto & Transport,x,,
6/17/14,Locks Landing,x,1.58,debit,Uncategorized,x,,
6/16/14,Willimantic Brewing,x,150,debit,Uncategorized,x,,
6/16/14,Amazon Video,x,2.99,debit,Movies & DVDs,x,,
6/16/14,Amazon Video,x,2.99,debit,Movies & DVDs,x,,
6/16/14,Egift,x,23.06,debit,Gift,x,,
6/16/14,Amazon Video,x,2.99,debit,Movies & DVDs,x,,
6/16/14,Lavazza F,x,2.75,debit,Coffee Shops,x,,
6/16/14,Amazon Video,x,2.99,debit,Movies & DVDs,x,,
6/16/14,Egift,x,0.69,debit,Gift,x,,
6/16/14,Market Main,x,30.21,debit,Groceries,x,,
6/13/14,Dog Lane Cafe,x,23,debit,Restaurants,x,,
6/13/14,Uc Merced Des,x,209,credit,Income,x,,
6/12/14,Uc Merced Des,x,299,credit,Income,x,,
6/11/14,Coffee Bandits,x,3.5,debit,Coffee Shops,x,,
6/11/14,Hertz,x,65.2,debit,Rental Car & Taxi,x,,
6/9/14,Amazon Video,x,6.99,debit,Movies & DVDs,x,,
6/9/14,Raley's,x,46.86,debit,Groceries,x,,
6/9/14,Raley's,x,34.74,debit,Groceries,x,,
6/9/14,Panera Bread,x,20.46,debit,Fast Food,x,,
6/9/14,Lantern Cafe,x,7.5,debit,Restaurants,x,,
6/9/14,Amazon Kindle,x,9.99,debit,Books,x,,
6/9/14,Corner,x,29.68,debit,Uncategorized,x,,
6/9/14,Jiffy Lube,x,110.18,debit,Service & Parts,x,,
6/9/14,Starbucks,x,8.7,debit,Coffee Shops,x,,
6/9/14,Lantern Cafe,x,6.06,debit,Restaurants,x,,
6/6/14,Ua Regency,x,9.5,debit,Uncategorized,x,,
6/6/14,Coffee Bandits,x,4.78,debit,Coffee Shops,x,,
6/6/14,Ua Regency,x,4,debit,Uncategorized,x,,
6/6/14,Simply Delightful Yogu,x,8.65,debit,Restaurants,x,,
6/6/14,Amazon Video,x,6.99,debit,Movies & DVDs,x,,
6/6/14,Amazon Kindle,x,0.99,debit,Books,x,,
6/6/14,Big 5 Sporting,x,43.19,debit,Sporting Goods,x,,
6/5/14,Coffee Bandits,x,18.07,debit,Coffee Shops,x,,
6/5/14,Panera Bread,x,11.97,debit,Fast Food,x,,
6/5/14,Amazon,x,9.66,debit,Shopping,x,,
6/5/14,Frontpoint Security,x,42.99,debit,Home Services,x,,
6/4/14,Panera Bread,x,18.44,debit,Fast Food,x,,
6/3/14,Transfer from Anne short term savings,x,1500,credit,Transfer,x,,
6/2/14,Target,x,189.7,debit,Shopping,x,,
6/2/14,Coffee Bandits,x,5.25,debit,Coffee Shops,x,,
6/2/14,Univ Cinti Conf,x,250,debit,Uncategorized,x,,
6/2/14,Coffee Bandits,x,12.37,debit,Coffee Shops,x,,
6/2/14,Raley's,x,33.59,debit,Groceries,x,,
6/2/14,Courtyard,x,32.4,debit,Hotel,x,,
6/2/14,Sushi Cuisine,x,15.69,debit,Restaurants,x,,
6/2/14,Delta,x,2058.8,debit,Air Travel,x,,
6/2/14,AT&T,x,207.6,debit,Home Phone,x,,
6/2/14,Lantern Cafe,x,11.74,debit,Restaurants,x,,
6/2/14,Transfer to INGchecking,x,7.96,debit,Transfer,x,,
5/30/14,Coffee Bandits,x,19.85,debit,Coffee Shops,x,,
5/30/14,Regal Hollywood Merced,x,9.5,debit,Uncategorized,x,,
5/30/14,Regal Hollywood Merced,x,10,debit,Uncategorized,x,,
5/30/14,Uc Los Angeles,x,4328.37,credit,Income,x,,
5/30/14,J R Tacos,x,25.94,debit,Restaurants,x,,
5/29/14,Wire Type Fx,x,95.83,debit,Uncategorized,x,,
5/29/14,Wire Transfer Fee,x,35,debit,Transfer,x,,
5/29/14,Lantern Cafe,x,9.81,debit,Restaurants,x,,
5/29/14,Amazon,x,12.95,debit,Shopping,x,,
5/28/14,Uc Merced Bookstore,x,6.93,debit,Books,x,,
5/27/14,Audible.com,x,14.95,debit,Books,x,,
5/27/14,BART,x,20,debit,Public Transportation,x,,
5/27/14,Sheraton,x,356.16,debit,Hotel,x,,
5/27/14,Jaspers Corner Tap,x,164.51,debit,Uncategorized,x,,
5/27/14,Panera Bread,x,18.52,debit,Fast Food,x,,
5/27/14,Starbucks,x,3.75,debit,Coffee Shops,x,,
5/27/14,Peet's Coffee,x,4.5,debit,Coffee Shops,x,,
